# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1749132162212000000,1749132222293000000,88000
VFS.contentStorage.recordsReadDecompressed,1749132162212000000,1749132222293000000,11
VFS.invertedFileNameIndex.requests,1749132162212000000,1749132222293000000,0
VFS.fileChildByName,1749132162212000000,1749132222293000000,16408
VFS.contentStorage.recordsRead,1749132162212000000,1749132222293000000,36
VFS.fileByIdCache.hits,1749132162212000000,1749132222293000000,0
VFS.contentStorage.recordsUncompressedSize,1749132162212000000,1749132222293000000,127243
VFS.contentStorage.recordsStoredCompressed,1749132162212000000,1749132222293000000,4
VFS.contentStorage.recordsStoredSize,1749132162212000000,1749132222293000000,82141
VFS.contentStorage.recordsStored,1749132162212000000,1749132222293000000,26
VFS.contentStorage.recordsReadSize,1749132162212000000,1749132222293000000,245672
FileNameCache.queries,1749132162212000000,1749132222293000000,11053632
VFS.contentStorage.recordsDecompressionTimeUs,1749132162212000000,1749132222293000000,1868
VFS.fileByIdCache.misses,1749132162212000000,1749132222293000000,6
VFS.contentStorage.recordsDeduplicated,1749132162212000000,1749132222293000000,0
JVM.totalCpuTimeMs,1749132162212000000,1749132222293000000,156060
JVM.usedNativeBytes,1749132162212000000,1749132222293000000,333139432
JVM.totalDirectByteBuffersBytes,1749132162212000000,1749132222293000000,346564033
JVM.totalTimeAtSafepointsMs,1749132162212000000,1749132222293000000,423
JVM.totalSafepointCount,1749132162212000000,1749132222293000000,454
JVM.threadCount,1749132162212000000,1749132222293000000,107
JVM.maxHeapBytes,1749132162212000000,1749132222293000000,5754585088
JVM.usedHeapBytes,1749132162212000000,1749132222293000000,1013514048
JVM.GC.collectionTimesMs,1749132162212000000,1749132222293000000,343
OS.loadAverage,1749132162212000000,1749132222293000000,4.3515625
JVM.committedHeapBytes,1749132162212000000,1749132222293000000,1430257664
MEM.fileMappingsRamBytes,1749132162212000000,1749132222293000000,500203520
JVM.totalTimeToSafepointsMs,1749132162212000000,1749132222293000000,414
MEM.ramPlusSwapMinusFileMappingsBytes,1749132162212000000,1749132222293000000,2293317632
JVM.newThreadsCount,1749132162212000000,1749132222293000000,154
MEM.ramMinusFileMappingsBytes,1749132162212000000,1749132222293000000,2293317632
MEM.ramBytes,1749132162212000000,1749132222293000000,2793521152
JVM.totalBytesAllocated,1749132162212000000,1749132222293000000,13415326800
JVM.GC.collections,1749132162212000000,1749132222293000000,65
JVM.maxThreadCount,1749132162212000000,1749132222293000000,109
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1749132162212000000,1749132222293000000,3
workspaceModel.global.updates.ms,1749132162212000000,1749132222293000000,17
workspaceModel.moduleManagerBridge.get.modules.ms,1749132162212000000,1749132222293000000,0
jps.global.get.library.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1749132162212000000,1749132222293000000,9
workspaceModel.moduleManagerBridge.build.module.graph.ms,1749132162212000000,1749132222293000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1749132162212000000,1749132222293000000,16
jps.reload.project.entities.ms,1749132162212000000,1749132222293000000,0
workspaceModel.do.save.caches.ms,1749132162212000000,1749132222293000000,21
jps.facet.change.listener.init.bridge.ms,1749132162212000000,1749132222293000000,1
jps.modifiable.module.model.bridge.disposing.ms,1749132162212000000,1749132222293000000,0
jps.artifact.entities.serializer.load.entities.ms,1749132162212000000,1749132222293000000,43
jps.save.global.entities.ms,1749132162212000000,1749132222293000000,0
workspaceModel.moduleBridge.before.changed.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1749132162212000000,1749132222293000000,0
jps.facet.change.listener.process.change.events.ms,1749132162212000000,1749132222293000000,0
jps.project.serializers.load.ms,1749132162212000000,1749132222293000000,42
jps.modifiable.module.model.bridge.new.module.ms,1749132162212000000,1749132222293000000,21
workspaceModel.mutableEntityStorage.replace.by.source.ms,1749132162212000000,1749132222293000000,8
jps.load.project.to.empty.storage.ms,1749132162212000000,1749132222293000000,113
workspaceModel.mutableEntityStorage.has.same.entities.ms,1749132162212000000,1749132222293000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1749132162212000000,1749132222293000000,5
workspaceModel.moduleBridgeLoader.loading.modules.ms,1749132162212000000,1749132222293000000,179
workspaceModel.mutableEntityStorage.add.entity.ms,1749132162212000000,1749132222293000000,62
workspaceModel.save.cache.to.file.ms,1749132162212000000,1749132222293000000,59
workspaceModel.mutableEntityStorage.instances.count,1749132162212000000,1749132222293000000,72
jps.modifiable.module.model.bridge.load.module.ms,1749132162212000000,1749132222293000000,0
workspaceModel.sync.entities.ms,1749132162212000000,1749132222293000000,3
jps.save.changed.project.entities.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1749132162212000000,1749132222293000000,1
workspaceModel.moduleBridge.update.option.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1749132162212000000,1749132222293000000,9
workspaceModel.load.cache.metadata.from.file.ms,1749132162212000000,1749132222293000000,0
workspaceModel.global.updates.count,1749132162212000000,1749132222293000000,3
jps.global.handle.changed.events.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1749132162212000000,1749132222293000000,0
