Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
OverrideOnly;JVM languages;Method can only be overridden;UAST;LOCAL;2.33;31.49%;0;63
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;1.37;18.47%;0;65
KotlinConstantConditions;Kotlin/Probable bugs;Constant conditions;kotlin;LOCAL;0.70;9.43%;0;65
UnstableApiUsage;JVM languages;Unstable API Usage;UAST;LOCAL;0.54;7.35%;0;63
InvalidBundleOrProperty;Kotlin;Invalid property key;kotlin;LOCAL;0.45;6.10%;0;65
NonExtendableApiUsage;JVM languages;Class, interface, or method should not be extended;UAST;LOCAL;0.33;4.42%;0;63
ReplaceArrayEqualityOpWithArraysEquals;Kotlin/Probable bugs;Arrays comparison via '==' and '!=';kotlin;LOCAL;0.27;3.61%;0;65
unused;Kotlin/Redundant constructs;Unused symbol;kotlin;LOCAL;0.26;3.45%;1;7
KotlinUnreachableCode;Kotlin/Probable bugs;Unreachable code;kotlin;LOCAL;0.15;1.96%;0;65
UnusedFlow;Kotlin/Probable bugs;Unused flow;kotlin;LOCAL;0.11;1.46%;0;65
removal;Java/Code maturity;Usage of API marked for removal;UAST;LOCAL;0.11;1.42%;0;8
LoggingSimilarMessage;JVM languages/Logging;Non-distinguishable logging calls;UAST;LOCAL;0.10;1.40%;0;63
UrlHashCode;JVM languages;Call to 'equals()' or 'hashCode()' on 'URL' object;UAST;LOCAL;0.10;1.37%;0;65
BlockingMethodInNonBlockingContext;JVM languages;Possibly blocking call in non-blocking context;UAST;LOCAL;0.10;1.31%;0;63
VariableNeverRead;Kotlin/Probable bugs;Variable is never read;kotlin;LOCAL;0.09;1.15%;0;65
MissingDeprecatedAnnotationOnScheduledForRemovalApi;JVM languages;Missing '@Deprecated' annotation on scheduled for removal API;UAST;LOCAL;0.08;1.08%;0;63
KDocUnresolvedReference;Kotlin/Probable bugs;Unresolved reference in KDoc;kotlin;LOCAL;0.06;0.82%;2;65
RemoveExplicitTypeArguments;Kotlin/Redundant constructs;Unnecessary type argument;kotlin;LOCAL;0.04;0.60%;0;7
AssignedValueIsNeverRead;Kotlin/Probable bugs;Assigned value is never read;kotlin;LOCAL;0.04;0.54%;0;65
UnusedImport;Kotlin/Redundant constructs;Unused import directive;kotlin;LOCAL;0.04;0.49%;0;8
TestFailedLine;JVM languages/Test frameworks;Failed line in test;UAST;LOCAL;0.03;0.45%;0;65
VariableInitializerIsRedundant;Kotlin/Redundant constructs;Variable initializer is redundant;kotlin;LOCAL;0.02;0.28%;0;6
RemoveRedundantQualifierName;Kotlin/Redundant constructs;Redundant qualifier name;kotlin;LOCAL;0.01;0.14%;0;4
AssertBetweenInconvertibleTypes;JVM languages/Test frameworks;'assertEquals()' between objects of inconvertible types;UAST;LOCAL;0.01;0.10%;0;65
